Date,Open,High,Low,Close,Adj Close,Volume
2019-02-06,6.080000,6.110000,6.040000,6.050000,6.050000,23624000
2019-02-07,6.020000,6.030000,5.950000,5.960000,5.960000,39599500
2019-02-08,5.960000,6.190000,5.960000,6.160000,6.160000,37475100
2019-02-11,6.190000,6.230000,6.130000,6.210000,6.210000,23293400
2019-02-12,6.210000,6.260000,6.150000,6.240000,6.240000,29400700
2019-02-13,6.270000,6.350000,6.260000,6.320000,6.320000,18786100
2019-02-14,6.310000,6.340000,6.270000,6.300000,6.300000,18292800
2019-02-15,6.300000,6.330000,6.260000,6.320000,6.320000,20775700
2019-02-19,6.130000,6.190000,6.120000,6.170000,6.170000,22651500
2019-02-20,6.050000,6.120000,6.030000,6.100000,6.100000,22922800
2019-02-21,6.100000,6.170000,6.090000,6.150000,6.150000,25796000
2019-02-22,6.150000,6.250000,6.140000,6.240000,6.240000,26931600
2019-02-25,6.280000,6.280000,6.110000,6.150000,6.150000,32257700
2019-02-26,6.150000,6.200000,6.110000,6.120000,6.120000,27324400
2019-02-27,6.150000,6.150000,6.070000,6.120000,6.120000,22102900
2019-02-28,6.100000,6.130000,6.070000,6.090000,6.090000,26216800
2019-03-01,6.120000,6.170000,6.080000,6.110000,6.110000,24788200
2019-03-04,6.130000,6.140000,6.030000,6.080000,6.080000,26505800
2019-03-05,6.090000,6.190000,6.090000,6.160000,6.160000,18795000
2019-03-06,6.120000,6.130000,6.060000,6.100000,6.100000,21097500
2019-03-07,6.070000,6.080000,6.020000,6.030000,6.030000,17576100
2019-03-08,5.960000,6.090000,5.950000,6.070000,6.070000,28689400
2019-03-11,6.050000,6.170000,6.040000,6.140000,6.140000,26335800
2019-03-12,6.180000,6.250000,6.150000,6.200000,6.200000,20990500
2019-03-13,6.150000,6.180000,6.130000,6.140000,6.140000,16889800
2019-03-14,6.170000,6.250000,6.150000,6.220000,6.220000,18598000
2019-03-15,6.340000,6.420000,6.310000,6.390000,6.390000,22230200
2019-03-18,6.370000,6.380000,6.310000,6.330000,6.330000,20221100
2019-03-19,6.380000,6.410000,6.320000,6.350000,6.350000,23996100
2019-03-20,6.290000,6.330000,6.210000,6.290000,6.290000,23309800
2019-03-21,6.260000,6.340000,6.240000,6.260000,6.260000,31097600
2019-03-22,5.940000,6.020000,5.760000,5.880000,5.880000,95614700
2019-03-25,5.930000,5.950000,5.830000,5.870000,5.870000,34181200
2019-03-26,5.860000,5.870000,5.800000,5.820000,5.820000,23046800
2019-03-27,5.810000,5.860000,5.780000,5.820000,5.820000,24587100
2019-03-28,5.720000,5.740000,5.660000,5.690000,5.690000,40834100
2019-03-29,5.740000,5.760000,5.690000,5.720000,5.720000,23922300
2019-04-01,5.780000,5.800000,5.750000,5.770000,5.770000,18024900
2019-04-02,5.830000,5.850000,5.770000,5.810000,5.810000,16224300
2019-04-03,5.920000,5.960000,5.890000,5.900000,5.900000,21194900
2019-04-04,5.950000,5.960000,5.880000,5.900000,5.900000,17011000
2019-04-05,5.930000,5.940000,5.910000,5.920000,5.920000,9515600
2019-04-08,5.940000,5.960000,5.900000,5.960000,5.960000,10652700
2019-04-09,5.890000,5.920000,5.850000,5.860000,5.860000,14416600
2019-04-10,5.860000,5.890000,5.840000,5.850000,5.850000,13640900
2019-04-11,5.860000,5.900000,5.840000,5.870000,5.870000,12022900
2019-04-12,5.900000,5.960000,5.880000,5.940000,5.940000,16105100
2019-04-15,5.730000,5.730000,5.630000,5.640000,5.640000,39245500
2019-04-16,5.680000,5.720000,5.660000,5.680000,5.680000,21111600
2019-04-17,5.760000,5.870000,5.750000,5.820000,5.820000,26628100
2019-04-18,5.800000,5.840000,5.770000,5.810000,5.810000,13496600
2019-04-22,5.840000,5.840000,5.780000,5.810000,5.810000,11826100
2019-04-23,5.770000,5.810000,5.750000,5.800000,5.800000,15914700
2019-04-24,5.810000,5.840000,5.760000,5.790000,5.790000,23394900
2019-04-25,5.340000,5.350000,5.200000,5.300000,5.300000,72436300
2019-04-26,5.340000,5.450000,5.330000,5.360000,5.360000,27525200
2019-04-29,5.360000,5.370000,5.300000,5.320000,5.320000,24526200
2019-04-30,5.240000,5.330000,5.230000,5.280000,5.280000,29843800
2019-05-01,5.310000,5.340000,5.220000,5.220000,5.220000,24970500
2019-05-02,5.210000,5.220000,5.150000,5.190000,5.190000,29368500
2019-05-03,5.140000,5.210000,5.130000,5.180000,5.180000,28702900
2019-05-06,5.060000,5.160000,5.050000,5.140000,5.140000,28192200
