Date,Open,High,Low,Close,Adj Close,Volume
2019-02-06,319.589996,324.239990,315.619995,317.220001,317.220001,5038500
2019-02-07,313.299988,314.700012,303.000000,307.510010,307.510010,6520600
2019-02-08,306.829987,307.450012,298.500000,305.799988,305.799988,5844200
2019-02-11,311.600006,318.600006,310.500000,312.839996,312.839996,7129700
2019-02-12,316.200012,318.190002,309.619995,311.809998,311.809998,5517600
2019-02-13,312.350006,312.750000,305.570007,308.170013,308.170013,5141600
2019-02-14,303.380005,306.769989,301.000000,303.769989,303.769989,5200800
2019-02-15,304.500000,308.000000,303.899994,307.880005,307.880005,3904900
2019-02-19,306.559998,311.540009,305.470001,305.640015,305.640015,4168400
2019-02-20,304.410004,306.299988,299.000000,302.559998,302.559998,7142100
2019-02-21,301.809998,303.239990,290.500000,291.230011,291.230011,8909200
2019-02-22,294.489990,296.500000,292.100006,294.709991,294.709991,5740600
2019-02-25,297.910004,302.899994,297.000000,298.769989,298.769989,6626500
2019-02-26,292.220001,302.010010,288.769989,297.859985,297.859985,8582500
2019-02-27,301.779999,316.299988,300.549988,314.739990,314.739990,11183900
2019-02-28,318.920013,320.000000,310.809998,319.880005,319.880005,10520700
2019-03-01,306.940002,307.130005,291.899994,294.790009,294.790009,22911400
2019-03-04,298.119995,299.000000,282.779999,285.359985,285.359985,17096800
2019-03-05,282.000000,284.000000,270.100006,276.540009,276.540009,18764700
2019-03-06,276.480011,281.510010,274.390015,276.239990,276.239990,10335500
2019-03-07,278.839996,284.700012,274.250000,276.589996,276.589996,9420000
2019-03-08,276.910004,285.589996,275.890015,284.140015,284.140015,8819600
2019-03-11,283.519989,291.279999,280.500000,290.920013,290.920013,7392300
2019-03-12,286.489990,288.070007,281.059998,283.359985,283.359985,7504100
2019-03-13,283.899994,291.989990,282.700012,288.959991,288.959991,6844700
2019-03-14,292.450012,295.390015,288.290009,289.959991,289.959991,7103400
2019-03-15,283.510010,283.720001,274.399994,275.429993,275.429993,14785500
2019-03-18,276.000000,278.049988,267.299988,269.489990,269.489990,10281000
2019-03-19,267.500000,273.299988,263.459991,267.470001,267.470001,11800600
2019-03-20,269.690002,274.970001,266.299988,273.600006,273.600006,6908200
2019-03-21,272.600006,276.450012,268.450012,274.019989,274.019989,5947100
2019-03-22,272.579987,272.799988,264.000000,264.529999,264.529999,8745600
2019-03-25,259.709991,263.179993,254.460007,260.420013,260.420013,10215000
2019-03-26,264.440002,270.260010,264.429993,267.769989,267.769989,7350900
2019-03-27,268.750000,275.369995,268.179993,274.829987,274.829987,8779200
2019-03-28,277.160004,280.329987,275.100006,278.619995,278.619995,6774100
2019-03-29,278.700012,280.160004,274.500000,279.859985,279.859985,5991300
2019-04-01,282.619995,289.200012,281.279999,289.179993,289.179993,8110400
2019-04-02,288.299988,289.440002,283.880005,285.880005,285.880005,5478900
2019-04-03,287.320007,296.170013,287.170013,291.809998,291.809998,7929900
2019-04-04,261.890015,271.200012,260.589996,267.779999,267.779999,23720700
2019-04-05,269.859985,276.100006,266.109985,274.959991,274.959991,13038300
2019-04-08,277.690002,281.160004,270.440002,273.200012,273.200012,10410400
2019-04-09,271.649994,275.000000,269.609985,272.309998,272.309998,5904000
2019-04-10,276.739990,278.380005,272.890015,276.059998,276.059998,7061300
2019-04-11,268.299988,270.500000,265.600006,268.420013,268.420013,9835900
2019-04-12,270.220001,271.950012,266.829987,267.700012,267.700012,6746000
2019-04-15,268.630005,268.880005,258.630005,266.380005,266.380005,10038600
2019-04-16,265.750000,275.000000,264.720001,273.359985,273.359985,7272900
2019-04-17,274.750000,274.790009,268.540009,271.230011,271.230011,5126500
2019-04-18,271.230011,274.839996,269.750000,273.260010,273.260010,5876300
2019-04-22,269.000000,269.679993,262.480011,262.750000,262.750000,12147100
2019-04-23,260.149994,265.600006,255.750000,263.899994,263.899994,10943900
2019-04-24,263.850006,265.320007,258.000000,258.660004,258.660004,10727500
2019-04-25,255.000000,259.000000,246.070007,247.630005,247.630005,21849400
2019-04-26,246.500000,246.679993,231.130005,235.139999,235.139999,22360700
2019-04-29,235.860001,243.979996,232.169998,241.470001,241.470001,16714500
2019-04-30,242.059998,244.210007,237.000000,238.690002,238.690002,9464600
2019-05-01,238.850006,240.000000,231.500000,234.009995,234.009995,10704400
2019-05-02,245.520004,247.130005,237.720001,244.100006,244.100006,18159300
2019-05-03,243.860001,256.609985,243.490005,255.029999,255.029999,23706800
2019-05-06,250.020004,258.350006,248.500000,255.339996,255.339996,10823300
